IID	ALLELE_CT	NAMED_ALLELE_DOSAGE_SUM	PC1_AVG	PC2_AVG	PC3_AVG	PC4_AVG	PC5_AVG	PC6_AVG	PC7_AVG	PC8_AVG	PC9_AVG	PC10_AVG	super_pop
HG00537	1734158	1734158	0.123851	0.175971	-0.0157483	-0.036341	7.56052e-05	0.000623508	0.00285102	-0.00157975	0.00291076	0.00445695	EAS
HG00542	1734966	1734966	0.125609	0.176429	-0.0155029	-0.0333035	0.000232454	0.0042429	-0.00346609	-0.00318089	-0.00153833	0.000536886	EAS
HG00556	1735952	1735952	0.124316	0.169682	-0.014645	-0.0330914	0.00157645	-0.000387951	-0.00235273	-0.000420905	-0.00141891	0.00255394	EAS
HG00559	1733142	1733142	0.121857	0.172762	-0.0193772	-0.0311744	-0.00319858	0.0149515	-0.00435307	-0.00637985	-0.00212232	0.00176446	EAS
HG00560	1734658	1734658	0.122252	0.17612	-0.0133877	-0.0341963	0.00151682	0.00279119	0.000294517	-0.00373815	-0.00124976	0.000162351	EAS
HG00565	1735478	1735478	0.123008	0.176696	-0.0179934	-0.0356717	-0.000141211	0.0046194	-0.00213132	-0.00404201	0.00166346	0.00819179	EAS
HG00577	1736188	1736188	0.12243	0.173786	-0.0159893	-0.039847	-0.000369041	0.0034317	-1.62504e-05	-0.00164259	-0.00392601	0.0090346	EAS
HG00580	1735880	1735880	0.123174	0.173696	-0.0158238	-0.0293864	-0.00114444	0.00449294	-0.00172085	-0.00258279	0.00128409	0.00442046	EAS
HG00581	1735690	1735690	0.12272	0.171181	-0.0131743	-0.032128	0.000685228	0.00863871	-0.00278869	-0.00297015	0.000870363	0.00349862	EAS
HG00583	1734810	1734810	0.12272	0.174466	-0.0132493	-0.0354469	0.000101522	-0.0116517	0.00179234	0.000770594	0.000284333	0.004157	EAS
HG00589	1735982	1735982	0.122262	0.172799	-0.0146925	-0.0290058	-0.00103198	0.0060396	0.00135777	-0.000550347	0.00235614	0.0063081	EAS
HG00596	1735860	1735860	0.123717	0.179305	-0.0136045	-0.0352792	-0.0018507	0.0061705	-0.00087774	-0.00281529	0.000389837	0.00438681	EAS
HG00599	1723494	1723494	0.121359	0.172175	-0.0136023	-0.0341488	-0.00179567	0.0136268	-0.0023037	-0.00443187	0.000390658	0.00268783	EAS
HG00620	1734952	1734952	0.124884	0.17455	-0.0146969	-0.0355018	0.000493314	1.87787e-05	0.000872159	-0.0005091	-0.000702917	-0.00175056	EAS
HG00622	1693430	1693430	0.116215	0.17115	-0.0169973	-0.0346611	-0.00196387	-0.000680102	-0.000568766	-0.00187466	-0.0013527	0.0013579	EAS
HG00623	1728360	1728360	0.122372	0.175982	-0.0104446	-0.0331935	-0.00208559	0.000936958	-0.00258233	0.0022776	-0.00129918	-0.000414561	EAS
HG00625	1735562	1735562	0.121715	0.170534	-0.00933472	-0.0361181	-0.000429907	-0.00617054	0.0032782	0.0058623	0.000522438	0.000990779	EAS
HG00626	1731726	1731726	0.123959	0.178694	-0.0161125	-0.0364432	0.000342738	0.000955793	-0.00300957	-0.00589553	-0.000909026	0.00610569	EAS
HG00631	1730548	1730548	0.122301	0.171981	-0.0156761	-0.034544	-0.00352459	0.00467069	-0.000597333	-0.00191195	-0.0022997	0.000418755	EAS
HG00632	1726610	1726610	0.123314	0.173084	-0.0133335	-0.0343294	-0.00125456	0.0023792	-0.00360742	-0.00543094	0.000549631	0.000682405	EAS
HG00634	1733092	1733092	0.121852	0.173861	-0.0110328	-0.0380248	-0.00198612	0.00381073	-0.00282587	-0.00304347	-0.00121429	0.00744683	EAS
HG00651	1735688	1735688	0.124164	0.175332	-0.0196027	-0.0346098	-0.00122934	-0.015688	0.00279357	0.00228034	0.00337447	0.000371909	EAS
HG00656	1734920	1734920	0.120333	0.1744	-0.0108536	-0.036739	-0.000442158	-0.0140844	0.00221517	0.00496228	-0.00323032	0.00149904	EAS
HG00657	1735178	1735178	0.123245	0.171747	-0.0124399	-0.0365923	0.000523873	-0.0112237	0.00592638	0.00363478	-2.68356e-05	0.00331818	EAS
HG00671	1727690	1727690	0.121977	0.172537	-0.0110147	-0.0349082	-0.000681182	-0.0110921	0.00132092	0.00221049	0.00263402	0.00703493	EAS
HG00674	1728630	1728630	0.119914	0.17457	-0.0137892	-0.0352799	-0.00068367	-0.0140542	0.0031154	0.00414863	-0.00076095	0.000706443	EAS
HG00689	1735244	1735244	0.123837	0.176837	-0.0137634	-0.0347374	-0.00139254	-0.0122786	-0.00151397	-0.00384078	-0.00337322	0.00916369	EAS
HG00690	1734934	1734934	0.122558	0.172398	-0.0132825	-0.0353286	-0.000730681	-0.016437	0.00137539	0.00235265	-0.00280409	0.00579259	EAS
HG00692	1735176	1735176	0.122233	0.171081	-0.0120705	-0.0318885	-0.00205698	-0.0155836	0.00728976	0.00659746	-0.00101568	0.00324296	EAS
HG00704	1735758	1735758	0.123236	0.172579	-0.0151688	-0.0328169	-0.00015786	-0.0117755	0.00393326	0.00323917	-0.00156693	0.00576004	EAS
HG00705	1727246	1727246	0.122339	0.173797	-0.0130311	-0.0380721	-0.00153657	-0.0130345	0.00272173	0.00398005	-0.00234723	0.00845149	EAS
HG00708	1735686	1735686	0.123084	0.174911	-0.0146663	-0.0374937	0.000439742	-0.0119751	0.00339006	-0.000565523	0.00137451	0.00756789	EAS
HG00716	1733516	1733516	0.121842	0.173279	-0.0162282	-0.0359231	-0.000951538	-0.0145346	0.000895211	0.004116	-0.000751751	0.00271254	EAS
HG00728	1729930	1729930	0.124994	0.170597	-0.0117395	-0.0376929	-0.00131832	-0.0161388	0.00103993	0.0026787	-0.000892202	0.000787353	EAS
HG00740	1733452	1733452	0.0487173	-0.0814305	-0.0419333	0.000226593	0.00294512	-0.0121541	-0.0136379	-0.0264931	-0.00174864	-0.0135529	AMR
HG00759	1730740	1730740	0.121587	0.170662	-0.00633011	-0.0371633	-0.00220642	-0.04979	0.0120565	0.0136488	-0.000737085	0.00135647	EAS
HG00851	1734608	1734608	0.121103	0.1721	-0.0100434	-0.039099	-0.00139262	-0.0533998	0.0119965	0.0148857	-0.00359468	0.00107383	EAS
HG00864	1733504	1733504	0.120464	0.167618	-0.0052222	-0.0397674	-0.0023291	-0.0500343	0.0117552	0.0121198	-0.00199516	0.000499952	EAS
HG00867	1735616	1735616	0.120385	0.172206	-0.0114371	-0.0377203	0.00102299	-0.049922	0.010757	0.015088	-0.00236381	-0.00428655	EAS
