IID	ALLELE_CT	NAMED_ALLELE_DOSAGE_SUM	PC1_AVG	PC2_AVG	PC3_AVG	PC4_AVG	PC5_AVG	PC6_AVG	PC7_AVG	PC8_AVG	PC9_AVG	PC10_AVG	super_pop
HG01536	1732728	1732728	0.0837403	-0.128393	-0.0317863	-0.0433525	-0.000344291	-0.00614387	-0.00964085	-0.018427	-0.00102678	-0.00355869	EUR
HG01551	1734012	1734012	-0.0467687	-0.0251998	-0.0414642	0.034472	-0.00118132	-0.00109695	-0.00927773	-0.0102411	0.0018313	-0.000447042	AMR
HG01589	1730842	1730842	0.0885389	-0.0531858	0.0675945	0.0245891	-0.00153435	-9.69075e-05	-0.00160695	0.00129358	0.000151352	0.00188931	SAS
HG01593	1731932	1731932	0.0856037	-0.0605232	0.0683098	0.0161735	-0.0012849	0.0025114	-0.00111535	-0.00484521	0.000668429	0.00644447	SAS
HG01685	1724904	1724904	0.0791774	-0.126017	-0.0281548	-0.0402752	0.0014844	-0.00787204	-0.0104736	-0.0173303	-0.00111149	0.00494216	EUR
HG01816	1733174	1733174	0.120407	0.171444	-0.00942342	-0.0410578	-0.00142571	-0.057197	0.0114007	0.0139344	-5.84083e-05	0.00242803	EAS
HG01842	1729318	1729318	0.119907	0.165861	-0.00502029	-0.0410322	-0.000502885	-0.0372013	0.00740148	0.00881472	-0.00079038	0.000642397	EAS
HG01849	1732988	1732988	0.121882	0.164689	-0.00453839	-0.0366598	-0.00222434	-0.0405927	0.0074052	0.00852368	-0.000583776	-0.00229889	EAS
HG01863	1731444	1731444	0.121004	0.16942	-0.00614928	-0.0351516	-0.00221064	-0.0329468	0.00924384	0.0101981	0.00166034	-0.00255624	EAS
HG01889	1734322	1734322	-0.272632	0.0138906	-0.00211555	-0.000154879	-0.00336523	3.32124e-05	0.013724	-0.00706164	0.0123793	-2.60828e-05	AFR
HG01915	1733854	1733854	-0.254188	0.00665049	-0.000650096	-0.00257197	-0.0124177	-0.00367623	0.013681	-0.0109676	0.0235696	0.00869152	AFR
HG01918	1734524	1734524	0.114313	0.0265541	-0.110757	0.164362	-0.000823042	-0.00349133	-1.71338e-05	0.00647061	-0.000858185	0.00851788	AMR
HG01936	1735240	1735240	0.0970575	0.00900497	-0.0952636	0.132385	0.00190738	-0.00205887	0.0016839	0.00502754	0.000962268	0.00692548	AMR
HG01944	1734688	1734688	0.114688	0.0942899	-0.0769847	0.0973999	0.00036354	-0.00267838	0.00483483	0.00644787	0.00274921	0.00579013	AMR
HG01951	1735128	1735128	0.114211	0.0703598	-0.126755	0.214778	0.000576712	-0.00280528	0.00877986	0.0126853	0.00446635	0.00109566	AMR
HG02010	1734912	1734912	-0.224755	-0.00630531	-0.00548833	-0.00678081	-0.00576204	0.00288574	0.0110757	-0.00409596	0.00996398	0.0123599	AFR
HG02105	1734124	1734124	0.122692	0.0642748	-0.129937	0.207692	-0.000267094	-0.00829954	0.0106654	0.0181381	-0.00132908	0.0090161	AMR
