IID	ALLELE_CT	NAMED_ALLELE_DOSAGE_SUM	PC1_AVG	PC2_AVG	PC3_AVG	PC4_AVG	PC5_AVG	PC6_AVG	PC7_AVG	PC8_AVG	PC9_AVG	PC10_AVG	super_pop
HG01182	1733166	1733166	0.0422996	-0.0765932	-0.0395048	0.00546382	-0.00353196	-0.00873159	-0.0151286	-0.0179356	-0.00643759	-0.00727009	AMR
HG01190	1734990	1734990	0.0374492	-0.0599211	-0.0475149	0.0215734	-0.00262034	-0.00903182	-0.00878686	-0.0140744	-0.00274174	-0.0134288	AMR
HG01204	1730026	1730026	0.0543671	-0.0840209	-0.035257	-0.00518433	-0.000821428	-0.0105069	-0.0120844	-0.0285288	-0.00579883	-0.00692867	AMR
HG01247	1732486	1732486	0.019522	-0.0645472	-0.0416453	0.0096674	0.0032166	-0.0073979	-0.00965495	-0.0167029	-0.00248834	-0.0113716	AMR
HG01253	1725148	1725148	0.0796563	-0.075159	-0.0509465	0.0202573	0.000101659	-0.00867399	-0.008966	-0.0193308	-0.00017837	-0.0044997	AMR
HG01284	1721554	1721554	0.0699677	-0.0718985	-0.04783	0.0220513	0.000470222	-0.0140564	-0.0105874	-0.0194632	-0.00250819	-0.00897462	AMR
HG01305	1730314	1730314	0.035899	-0.0716526	-0.0415415	0.00898467	0.00119824	-0.00783765	-0.0135657	-0.01804	-0.00435623	-0.0111985	AMR
HG01322	1722068	1722068	0.0674116	-0.0928721	-0.0423548	0.00216774	0.000454881	-0.0120949	-0.0157727	-0.0221996	0.0029142	-0.0124046	AMR
HG01334	1734798	1734798	0.0932887	-0.125512	-0.0317139	-0.0381071	0.000185932	0.00272394	0.00627201	0.00621218	0.00207867	0.00801466	EUR
HG01341	1727270	1727270	0.103457	-0.0096292	-0.0873533	0.10608	-0.000620455	-0.00291853	-0.00143697	-0.00270219	-0.00196481	-0.00453442	AMR
HG01342	1734472	1734472	-0.0365732	-0.033379	-0.0423254	0.0319927	0.00131791	-0.00287967	-0.000474865	-0.00846881	0.00571079	-0.00097288	AMR
HG01344	1735424	1735424	0.088943	-0.0444167	-0.070569	0.0662065	-0.000127089	-0.0054789	-0.00645297	-0.00676792	-0.00385905	0.00232969	AMR
HG01347	1732850	1732850	0.0907166	-0.0867251	-0.0518408	0.0130916	-0.00133315	-0.0138539	-0.0157603	-0.0218017	0.00302218	-0.0129825	AMR
HG01372	1732988	1732988	0.0847387	-0.0621662	-0.0615061	0.0427139	0.00131873	-0.0119848	-0.00711678	-0.0155558	0.00197826	-0.00586922	AMR
HG01378	1735088	1735088	0.0833575	-0.0457443	-0.0659437	0.0580724	0.0012802	-0.00874699	-0.00833729	-0.0160016	0.00178451	-0.00241418	AMR
HG01398	1728672	1728672	0.030828	-0.0744479	-0.0406914	0.00943253	-3.24265e-05	-0.00330241	-0.0135378	-0.0178553	-0.00557039	-0.0150559	AMR
HG01438	1735434	1735434	0.083705	-0.121261	-0.0297066	-0.0252006	0.00186937	-0.0121549	-0.0104603	-0.0201609	-0.0032234	-0.0038607	AMR
HG01455	1736170	1736170	0.0896664	-0.0429581	-0.0722356	0.0612443	-0.000173193	-0.00236403	-0.00818853	-0.0105815	0.00061043	-0.0113576	AMR
HG01462	1734782	1734782	-0.00610599	-0.0210526	-0.0517012	0.0500838	-0.00281616	3.69252e-05	-0.00531232	-0.00795296	-0.00131193	-9.23785e-05	AMR
HG01465	1731826	1731826	0.0859231	-0.0886066	-0.0509291	0.0106051	0.000127774	-0.0122059	-0.0167498	-0.0264599	-0.000258294	-0.0142353	AMR
HG01482	1730716	1730716	0.095399	-0.0377857	-0.0649415	0.073475	-0.00170765	-0.00406689	-0.00668592	-0.00890226	-0.00451434	-0.00373201	AMR
HG01492	1734800	1734800	0.0848438	-0.0859507	-0.0492763	0.0123817	-0.00118611	-0.0108999	-0.0133656	-0.0257081	-0.00168743	0.00365508	AMR
HG01497	1735976	1735976	0.0848322	-0.0532547	-0.0674518	0.0554624	0.000457658	-0.00511469	-0.0083047	-0.015799	0.00681793	-0.00473973	AMR
HG01500	1735436	1735436	0.0799774	-0.125029	-0.0249082	-0.0397243	0.00220523	-0.00714481	-0.0159591	-0.0262201	0.00072212	-0.00719079	EUR
HG01503	1735386	1735386	0.0865744	-0.13119	-0.025774	-0.0399875	0.000268588	-0.00914127	-0.0119086	-0.0251624	0.0029856	-0.00219632	EUR
HG01506	1733522	1733522	0.0838753	-0.129644	-0.0237877	-0.0415001	4.32875e-05	-0.00966162	-0.0101159	-0.0194309	-0.000318109	0.00424811	EUR
HG01512	1732634	1732634	0.0880016	-0.134098	-0.0320491	-0.0401719	0.00289346	-0.00727423	-0.00997067	-0.0200195	0.00251549	-0.00559816	EUR
HG01513	1730204	1730204	0.0870951	-0.13212	-0.0307244	-0.0427541	0.00232428	-0.00907174	-0.0105576	-0.0227266	0.000107189	-0.00283739	EUR
HG01521	1729772	1729772	0.090836	-0.134026	-0.0337383	-0.0428109	0.000206366	-0.0066534	-0.00884215	-0.0161006	0.00453818	-0.00687476	EUR
HG01522	1729034	1729034	0.0925316	-0.131314	-0.0335682	-0.0455677	0.00121304	-0.00528282	-0.00742157	-0.0182192	-0.000700343	-0.00846416	EUR
HG01524	1724378	1724378	0.0841025	-0.127904	-0.0305784	-0.0421546	0.00100555	-0.00764427	-0.0131864	-0.0277204	-0.00289274	-0.00516635	EUR
HG01525	1717644	1717644	0.0804854	-0.125122	-0.0283034	-0.0420945	7.44969e-05	-0.0110905	-0.0135887	-0.0252671	0.00244189	-0.00241297	EUR
HG01531	1732062	1732062	0.0811108	-0.127992	-0.027291	-0.04214	-0.000757503	-0.0120603	-0.0151102	-0.0220355	-0.0037959	-0.000192374	EUR
HG01572	1734140	1734140	0.120615	0.0627446	-0.136011	0.214067	0.000798172	-0.00524116	0.0137439	0.018695	0.000492413	0.0101181	AMR
HG01578	1735692	1735692	0.105284	-0.00542708	-0.0961096	0.120861	0.000643299	-0.00956927	-0.000565049	0.00135299	0.00134155	0.00407289	AMR
HG01602	1726404	1726404	0.0804251	-0.125154	-0.0290908	-0.0408139	0.00236216	-0.0125058	-0.0124481	-0.0207058	-0.00386875	-0.00316614	EUR
