IID	ALLELE_CT	NAMED_ALLELE_DOSAGE_SUM	PC1_AVG	PC2_AVG	PC3_AVG	PC4_AVG	PC5_AVG	PC6_AVG	PC7_AVG	PC8_AVG	PC9_AVG	PC10_AVG	super_pop
HG00589	1735982	1735982	0.122262	0.172799	-0.0146925	-0.0290058	-0.00103198	0.0060396	0.00135777	-0.000550347	0.00235614	0.0063081	EAS
HG00596	1735860	1735860	0.123717	0.179305	-0.0136045	-0.0352792	-0.0018507	0.0061705	-0.00087774	-0.00281529	0.000389837	0.00438681	EAS
HG00599	1723494	1723494	0.121359	0.172175	-0.0136023	-0.0341488	-0.00179567	0.0136268	-0.0023037	-0.00443187	0.000390658	0.00268783	EAS
HG00607	1735842	1735842	0.123509	0.171667	-0.0133308	-0.0352288	0.000334402	0.00472858	-0.0011688	-0.00362157	0.00146295	0.0041005	EAS
HG00613	1734776	1734776	0.123768	0.173417	-0.0122173	-0.0313244	-0.000809583	0.00508097	0.00201634	-0.000220046	0.00165098	0.00383709	EAS
HG00620	1734952	1734952	0.124884	0.17455	-0.0146969	-0.0355018	0.000493314	1.87787e-05	0.000872159	-0.0005091	-0.000702917	-0.00175056	EAS
HG00622	1693430	1693430	0.116215	0.17115	-0.0169973	-0.0346611	-0.00196387	-0.000680102	-0.000568766	-0.00187466	-0.0013527	0.0013579	EAS
HG00623	1728360	1728360	0.122372	0.175982	-0.0104446	-0.0331935	-0.00208559	0.000936958	-0.00258233	0.0022776	-0.00129918	-0.000414561	EAS
HG00625	1735562	1735562	0.121715	0.170534	-0.00933472	-0.0361181	-0.000429907	-0.00617054	0.0032782	0.0058623	0.000522438	0.000990779	EAS
HG00626	1731726	1731726	0.123959	0.178694	-0.0161125	-0.0364432	0.000342738	0.000955793	-0.00300957	-0.00589553	-0.000909026	0.00610569	EAS
HG00628	1736056	1736056	0.120838	0.17185	-0.017308	-0.0335984	-0.000332012	0.0014814	-0.000534992	-0.00201221	-0.00133949	0.00860424	EAS
HG00629	1731736	1731736	0.123081	0.173973	-0.0163417	-0.0328524	-0.00287796	0.000138188	-0.000266253	0.00129305	0.000825667	0.00505596	EAS
HG00631	1730548	1730548	0.122301	0.171981	-0.0156761	-0.034544	-0.00352459	0.00467069	-0.000597333	-0.00191195	-0.0022997	0.000418755	EAS
HG00632	1726610	1726610	0.123314	0.173084	-0.0133335	-0.0343294	-0.00125456	0.0023792	-0.00360742	-0.00543094	0.000549631	0.000682405	EAS
HG00634	1733092	1733092	0.121852	0.173861	-0.0110328	-0.0380248	-0.00198612	0.00381073	-0.00282587	-0.00304347	-0.00121429	0.00744683	EAS
HG00651	1735688	1735688	0.124164	0.175332	-0.0196027	-0.0346098	-0.00122934	-0.015688	0.00279357	0.00228034	0.00337447	0.000371909	EAS
HG00654	1732706	1732706	0.121853	0.172888	-0.00971207	-0.0366136	-0.000635633	-0.00925991	0.000791871	0.00214311	0.000193452	0.00696793	EAS
HG00656	1734920	1734920	0.120333	0.1744	-0.0108536	-0.036739	-0.000442158	-0.0140844	0.00221517	0.00496228	-0.00323032	0.00149904	EAS
HG00657	1735178	1735178	0.123245	0.171747	-0.0124399	-0.0365923	0.000523873	-0.0112237	0.00592638	0.00363478	-2.68356e-05	0.00331818	EAS
HG00662	1735580	1735580	0.12159	0.172364	-0.0143889	-0.0348127	0.00092478	-0.0148628	0.00227158	0.00115145	0.00109689	-0.000996851	EAS
HG00671	1727690	1727690	0.121977	0.172537	-0.0110147	-0.0349082	-0.000681182	-0.0110921	0.00132092	0.00221049	0.00263402	0.00703493	EAS
