round,agg_loss,agg_accuracy,num_clients
1,0.0823898798641699,0.9962335216572504,4
2,0.013736678397882793,0.9968612680477087,4
3,0.02052148198796587,0.9943502824858758,4
4,0.011852064919444613,0.9962335216572504,4
5,0.013091116939885898,0.9993722536095417,4
6,0.015224029431066944,0.9956057752667922,4
7,0.006832944662459265,0.9981167608286252,4
8,0.010625014345998229,0.9993722536095417,4
9,0.004804939520355297,0.9993722536095417,4
10,0.007691798584247201,0.9962335216572504,4
11,0.003582539932822197,0.9993722536095417,4
12,0.0034696764225500935,0.9993722536095417,4
13,0.006100475589633081,0.9987445072190835,4
14,0.0074004487140033725,0.9962335216572504,4
15,0.046651638501744114,0.9830508474576272,4
