epoch,train_loss,train_acc,val_loss,val_acc
1,0.7263344165039998,0.7850980392156863,0.6679454348372214,1.0
2,0.06910877654511555,0.9898039215686274,0.018043526489311044,1.0
3,0.029733470258321248,0.9937254901960785,0.003986893274452326,1.0
4,0.01611659792206232,0.9968627450980392,0.0024522279093405173,1.0
5,0.026999667974955895,0.9929411764705882,0.0019314389616549717,1.0
6,0.03541837860300553,0.9929411764705882,0.03874529484636004,0.9905660377358491
7,0.03013178582869324,0.9913725490196078,0.017962673737567925,1.0
8,0.026265432935792442,0.9905882352941177,0.0029415310925727934,1.0
9,0.02019557870047934,0.9952941176470588,0.0006503994523916604,1.0
10,0.014371127952255454,0.996078431372549,0.0003924036338858002,1.0
11,0.012905749964217344,0.996078431372549,0.01359108140774118,1.0
12,0.014694953338042193,0.9945098039215686,0.00694317089206299,1.0
13,0.014810010512158567,0.9952941176470588,0.0009485895327386101,1.0
14,0.01855468991796906,0.9952941176470588,0.0005396313748597724,1.0
15,0.010565084278145257,0.996078431372549,0.0006382581944439748,1.0
